"","Set","Variable.Name","Subscript.1","Subscript.2","Index","Study.Minimum","Study.Maximum","Model.Value","mu","mu.star","sigma","sem","std.errors","metric"
"1",127,"C_to_RR.Startup_Subs","FCI_C",NA,NA,0,1,0,29.93274564,29.93274564,54.1137592573487,10.8227518514697,2.76572410148488,"EE2035EtOHMax"
"2",133,"C_to_RR.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,2.6914823,2.6915907,6.52409805332763,1.30481961066553,2.06272367306558,"EE2035EtOHMax"
"3",79,"C_to_RR.Policy_Dur","Price","FT",NA,0,20,NA,6.59590198,6.59590198,16.1747592212928,3.23495184425857,2.03894904701796,"EE2035EtOHMax"
"4",80,"C_to_RR.Policy_Start","Price","FT",NA,2011,2015,NA,-0.661497000000001,0.661497000000001,1.68407316257094,0.336814632514187,1.96397940036687,"EE2035EtOHMax"
"5",89,"C_to_RR.Policy_Dur","FCI_C","FT",NA,0,20,NA,1.12862,1.12862,3.22429219067276,0.644858438134551,1.75018257226326,"EE2035EtOHMax"
"6",112,"C_to_EtOH.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,-3.57241128,4.66126036,12.2662473116832,2.45324946233664,1.45619568447695,"EE2035EtOHMax"
"7",9,"C_to_RR.Policy_Dur","FCI_P","FT",NA,0,20,NA,0.31322,0.31322,1.16906335442809,0.233812670885619,1.33961944326459,"EE2035EtOHMax"
"8",84,"C_to_EtOH.Policy_Start","Price","TC",NA,2011,2015,NA,0.0563202199999994,0.0565611399999994,0.257788913810516,0.0515577827621032,1.09237086978451,"EE2035EtOHMax"
"9",73,"C_to_EtOH.Policy_Dur","Price","BC",NA,0,20,NA,-3.12678396,5.71614876,14.6162460595079,2.92324921190158,1.06962620472786,"EE2035EtOHMax"
"10",128,"C_to_RR.Startup_Subs","FCI_P",NA,NA,0,1,0.600000023841858,3.0757636,3.0758942,14.7790853922834,2.95581707845668,1.04057981883167,"EE2035EtOHMax"
"11",74,"C_to_EtOH.Policy_Start","Price","BC",NA,2011,2015,NA,0.420131600000001,0.421530600000001,2.03398635734692,0.406797271469385,1.03277880523252,"EE2035EtOHMax"
"12",120,"C_to_RR.Background_Subs","FCI_C",NA,NA,0,1,0,0.1488,0.1488,0.744,0.1488,1,"EE2035EtOHMax"
"13",121,"C_to_RR.Background_Subs","FCI_P",NA,NA,0,1,0.600000023841858,0.75524978,0.75524978,3.7762489,0.75524978,1,"EE2035EtOHMax"
"14",135,"C_to_RR.Startup_Subs_Vol_Thresh","FCI_P",NA,NA,0,5,1,0.00655886,0.00655886,0.0327943,0.00655886,1,"EE2035EtOHMax"
"15",10,"C_to_RR.Policy_Start","FCI_P","FT",NA,2011,2015,NA,0.17853994,0.17865322,0.892994744828372,0.178598948965674,0.999669600711448,"EE2035EtOHMax"
"16",72,"C_to_RR.Policy_Start","Price","APR",NA,2011,2015,NA,-0.00501289999999989,0.00538718000000003,0.0260442087184622,0.00520884174369245,0.962382857200483,"EE2035EtOHMax"
"17",71,"C_to_RR.Policy_Dur","Price","APR",NA,0,20,NA,-0.136470099999999,0.15704822,0.736394604202886,0.147278920840577,0.926609858499182,"EE2035EtOHMax"
"18",90,"C_to_RR.Policy_Start","FCI_C","FT",NA,2011,2015,NA,0.630313519999999,1.09111352,3.44721243881,0.689442487762001,0.914236547918681,"EE2035EtOHMax"
"19",105,"C_to_EtOH.Background_Subs","Price",NA,NA,0,5,0.150000005960464,-0.25408372,0.32544272,1.45922396927792,0.291844793855584,0.870612480843946,"EE2035EtOHMax"
"20",119,"C_to_EtOH.Startup_Subs_Vol_Thresh","Price",NA,NA,0,5,1,0.79260262,1.57496682,4.93211046222999,0.986422092445997,0.803512640349134,"EE2035EtOHMax"
"21",140,"C_to_RR.Startup_Subs_Vol_Thresh","Price",NA,NA,0,5,1,-0.179515620000001,0.323117460000001,1.32065776156233,0.264131552312466,0.679644739253395,"EE2035EtOHMax"
"22",77,"C_to_RR.Policy_Dur","Price","FP",NA,0,20,NA,0.10154618,0.2313843,0.778067364287722,0.155613472857544,0.652553908959796,"EE2035EtOHMax"
"23",83,"C_to_EtOH.Policy_Dur","Price","TC",NA,0,20,NA,0.0881591000000016,0.355139300000001,1.0166115019727,0.20332230039454,0.433592871165296,"EE2035EtOHMax"
"24",78,"C_to_RR.Policy_Start","Price","FP",NA,2011,2015,NA,-0.0226438199999999,0.0767912200000001,0.284291799663431,0.0568583599326863,0.398249615831472,"EE2035EtOHMax"
"25",126,"C_to_RR.Background_Subs","Price",NA,NA,0,5,0.150000005960464,0.0383428799999995,0.196622879999999,0.657879675539281,0.131575935107856,0.291412559360257,"EE2035EtOHMax"
"26",99,"C_to_EtOH.Background_Subs","FCI_C",NA,NA,0,1,0.6,0,0,0,0,NA,"EE2035EtOHMax"
"27",100,"C_to_EtOH.Background_Subs","FCI_P",NA,NA,0,1,0.600000023841858,0,0,0,0,NA,"EE2035EtOHMax"
"28",101,"C_to_EtOH.Background_Subs","FeedstockC",NA,NA,0,1,0,0,0,0,0,NA,"EE2035EtOHMax"
"29",102,"C_to_EtOH.Background_Subs","FeedstockP",NA,NA,0,1,0,0,0,0,0,NA,"EE2035EtOHMax"
"30",103,"C_to_EtOH.Background_Subs","Loan_C",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035EtOHMax"
"31",104,"C_to_EtOH.Background_Subs","Loan_P",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035EtOHMax"
"32",3,"C_to_EtOH.Policy_Dur","FCI_P","BC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"33",13,"C_to_EtOH.Policy_Dur","FCI_P","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"34",17,"C_to_EtOH.Policy_Dur","FeedstockC","BC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"35",27,"C_to_EtOH.Policy_Dur","FeedstockC","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"36",31,"C_to_EtOH.Policy_Dur","FeedstockP","BC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"37",41,"C_to_EtOH.Policy_Dur","FeedstockP","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"38",45,"C_to_EtOH.Policy_Dur","Loan_C","BC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"39",55,"C_to_EtOH.Policy_Dur","Loan_C","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"40",59,"C_to_EtOH.Policy_Dur","Loan_P","BC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"41",70,"C_to_EtOH.Policy_Dur","Loan_P","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"42",85,"C_to_EtOH.Policy_Dur","FCI_C","TC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"43",87,"C_to_EtOH.Policy_Dur","FCI_C","BC",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"44",4,"C_to_EtOH.Policy_Start","FCI_P","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"45",14,"C_to_EtOH.Policy_Start","FCI_P","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"46",18,"C_to_EtOH.Policy_Start","FeedstockC","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"47",28,"C_to_EtOH.Policy_Start","FeedstockC","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"48",32,"C_to_EtOH.Policy_Start","FeedstockP","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"49",42,"C_to_EtOH.Policy_Start","FeedstockP","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"50",46,"C_to_EtOH.Policy_Start","Loan_C","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"51",56,"C_to_EtOH.Policy_Start","Loan_C","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"52",60,"C_to_EtOH.Policy_Start","Loan_P","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"53",69,"C_to_EtOH.Policy_Start","Loan_P","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"54",86,"C_to_EtOH.Policy_Start","FCI_C","TC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"55",88,"C_to_EtOH.Policy_Start","FCI_C","BC",NA,2011,2015,NA,0,0,0,0,NA,"EE2035EtOHMax"
"56",106,"C_to_EtOH.Startup_Subs","FCI_C",NA,NA,0,1,0,0,0,0,0,NA,"EE2035EtOHMax"
"57",107,"C_to_EtOH.Startup_Subs","FCI_P",NA,NA,0,1,0.600000023841858,0,0,0,0,NA,"EE2035EtOHMax"
"58",108,"C_to_EtOH.Startup_Subs","FeedstockC",NA,NA,0,1,0,0,0,0,0,NA,"EE2035EtOHMax"
"59",109,"C_to_EtOH.Startup_Subs","FeedstockP",NA,NA,0,1,0,0,0,0,0,NA,"EE2035EtOHMax"
"60",110,"C_to_EtOH.Startup_Subs","Loan_C",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035EtOHMax"
"61",111,"C_to_EtOH.Startup_Subs","Loan_P",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035EtOHMax"
"62",113,"C_to_EtOH.Startup_Subs_Vol_Thresh","FCI_C",NA,NA,0,5,1,0,0,0,0,NA,"EE2035EtOHMax"
"63",114,"C_to_EtOH.Startup_Subs_Vol_Thresh","FCI_P",NA,NA,0,5,1,0,0,0,0,NA,"EE2035EtOHMax"
"64",115,"C_to_EtOH.Startup_Subs_Vol_Thresh","FeedstockC",NA,NA,0,5,1,0,0,0,0,NA,"EE2035EtOHMax"
"65",116,"C_to_EtOH.Startup_Subs_Vol_Thresh","FeedstockP",NA,NA,0,5,1,0,0,0,0,NA,"EE2035EtOHMax"
"66",117,"C_to_EtOH.Startup_Subs_Vol_Thresh","Loan_C",NA,NA,0,5,1,0,0,0,0,NA,"EE2035EtOHMax"
"67",118,"C_to_EtOH.Startup_Subs_Vol_Thresh","Loan_P",NA,NA,0,5,1,0,0,0,0,NA,"EE2035EtOHMax"
"68",122,"C_to_RR.Background_Subs","FeedstockC",NA,NA,0,1,0,0,0,0,0,NA,"EE2035EtOHMax"
"69",123,"C_to_RR.Background_Subs","FeedstockP",NA,NA,0,1,0,0,0,0,0,NA,"EE2035EtOHMax"
"70",124,"C_to_RR.Background_Subs","Loan_C",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035EtOHMax"
"71",125,"C_to_RR.Background_Subs","Loan_P",NA,NA,0,1,0.699999988079071,0,0,0,0,NA,"EE2035EtOHMax"
"72",1,"C_to_RR.Policy_Dur","FCI_P","APR",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"73",5,"C_to_RR.Policy_Dur","FCI_P","F",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"74",7,"C_to_RR.Policy_Dur","FCI_P","FP",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"75",11,"C_to_RR.Policy_Dur","FCI_P","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"76",15,"C_to_RR.Policy_Dur","FeedstockC","APR",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"77",19,"C_to_RR.Policy_Dur","FeedstockC","F",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"78",21,"C_to_RR.Policy_Dur","FeedstockC","FP",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"79",23,"C_to_RR.Policy_Dur","FeedstockC","FT",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
"80",25,"C_to_RR.Policy_Dur","FeedstockC","MTG",NA,0,20,NA,0,0,0,0,NA,"EE2035EtOHMax"
