"","Set","Variable.Name","Subscript.1","Subscript.2","Index","Study.Minimum","Study.Maximum","Model.Value","mu","mu.star","sigma","sem","std.errors","metric"
"1",105,"C_to_EtOH.Background_Subs","Price",NA,NA,0,5,0.150000005960464,6.6668896,7.3434256,11.2723273910491,2.25446547820982,2.95719303064863,"EE2035RRMax"
"2",83,"C_to_EtOH.Policy_Dur","Price","TC",NA,0,20,NA,6.0352456,6.8705456,10.2330054327358,2.04660108654716,2.94891155861845,"EE2035RRMax"
"3",84,"C_to_EtOH.Policy_Start","Price","TC",NA,2011,2015,NA,0.955035999999999,1.032792,2.01956619210042,0.403913238420084,2.36445827756387,"EE2035RRMax"
"4",127,"C_to_RR.Startup_Subs","FCI_C",NA,NA,0,1,0,20.58082,20.58082,45.8275720075845,9.1655144015169,2.24546262199903,"EE2035RRMax"
"5",79,"C_to_RR.Policy_Dur","Price","FT",NA,0,20,NA,4.623508,4.623508,10.8850051039232,2.17700102078463,2.1237968911625,"EE2035RRMax"
"6",133,"C_to_RR.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,2.6175594,2.6588846,6.24452680722292,1.24890536144458,2.09588290739045,"EE2035RRMax"
"7",80,"C_to_RR.Policy_Start","Price","FT",NA,2011,2015,NA,-0.661497000000001,0.661497000000001,1.68407316257094,0.336814632514187,1.96397940036687,"EE2035RRMax"
"8",89,"C_to_RR.Policy_Dur","FCI_C","FT",NA,0,20,NA,1.12862,1.12862,3.22429219067276,0.644858438134551,1.75018257226326,"EE2035RRMax"
"9",9,"C_to_RR.Policy_Dur","FCI_P","FT",NA,0,20,NA,0.31322,0.31322,1.16906335442809,0.233812670885619,1.33961944326459,"EE2035RRMax"
"10",72,"C_to_RR.Policy_Start","Price","APR",NA,2011,2015,NA,0.0157697999999995,0.0287422000000001,0.0681679353154145,0.0136335870630829,1.15668751936173,"EE2035RRMax"
"11",74,"C_to_EtOH.Policy_Start","Price","BC",NA,2011,2015,NA,2.108416,4.7921736,10.3396653389455,2.06793306778911,1.01957651958928,"EE2035RRMax"
"12",10,"C_to_RR.Policy_Start","FCI_P","FT",NA,2011,2015,NA,0.126585,0.126585,0.624128616218911,0.124825723243782,1.01409386391282,"EE2035RRMax"
"13",120,"C_to_RR.Background_Subs","FCI_C",NA,NA,0,1,0,0.1488,0.1488,0.744,0.1488,1,"EE2035RRMax"
"14",135,"C_to_RR.Startup_Subs_Vol_Thresh","FCI_P",NA,NA,0,5,1,-0.0195334,0.0195334,0.097667,0.0195334,1,"EE2035RRMax"
"15",128,"C_to_RR.Startup_Subs","FCI_P",NA,NA,0,1,0.600000023841858,1.1781766,1.3634566,6.29262107525233,1.25852421505047,0.936157275251756,"EE2035RRMax"
