"","Set","Variable.Name","Subscript.1","Subscript.2","Index","Study.Minimum","Study.Maximum","Model.Value","mu","mu.star","sigma","sem","std.errors","metric"
"1",112,"C_to_EtOH.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,7.3936662,7.6594922,9.82542049023998,1.965084098048,3.76251897175518,"EE2035TotalMax"
"2",105,"C_to_EtOH.Background_Subs","Price",NA,NA,0,5,0.150000005960464,7.0485536,7.1485696,10.9376766946333,2.18753533892666,3.22214387789432,"EE2035TotalMax"
"3",83,"C_to_EtOH.Policy_Dur","Price","TC",NA,0,20,NA,5.9752522,6.546763,10.2195624526765,2.04391249053529,2.92343837012078,"EE2035TotalMax"
"4",84,"C_to_EtOH.Policy_Start","Price","TC",NA,2011,2015,NA,0.8921526,0.983555399999999,2.03249091291589,0.406498182583178,2.19472715555732,"EE2035TotalMax"
"5",79,"C_to_RR.Policy_Dur","Price","FT",NA,0,20,NA,-0.5392086,0.5465294,1.56721472065594,0.313442944131187,1.72027672051958,"EE2035TotalMax"
"6",72,"C_to_RR.Policy_Start","Price","APR",NA,2011,2015,NA,0.0208525999999994,0.0234250000000001,0.0612257483471338,0.0122451496694268,1.70292732738607,"EE2035TotalMax"
"7",119,"C_to_EtOH.Startup_Subs_Vol_Thresh","Price",NA,NA,0,5,1,-1.4096192,2.4237488,5.08094669564305,1.01618933912861,1.38716196452992,"EE2035TotalMax"
"8",80,"C_to_RR.Policy_Start","Price","FT",NA,2011,2015,NA,0.1428976,0.1438576,0.521974771718583,0.104394954343717,1.36881711284163,"EE2035TotalMax"
"9",128,"C_to_RR.Startup_Subs","FCI_P",NA,NA,0,1,0.600000023841858,-0.586834,0.586834,2.25952126228839,0.451904252457679,1.29858038911674,"EE2035TotalMax"
"10",127,"C_to_RR.Startup_Subs","FCI_C",NA,NA,0,1,0,-0.6159288,0.8030648,2.85997793775482,0.571995587550965,1.07680690796434,"EE2035TotalMax"
"11",133,"C_to_RR.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,-1.047722,1.1444848,4.9495592915062,0.989911858301241,1.05839928192997,"EE2035TotalMax"
"12",89,"C_to_RR.Policy_Dur","FCI_C","FT",NA,0,20,NA,0.00089060000000008,0.00089060000000008,0.0043909092452475,0.0008781818490495,1.014140751103,"EE2035TotalMax"
"13",120,"C_to_RR.Background_Subs","FCI_C",NA,NA,0,1,0,0.00144740000000001,0.00144740000000001,0.00723700000000005,0.00144740000000001,1,"EE2035TotalMax"
