"","Set","Variable.Name","Subscript.1","Subscript.2","Index","Study.Minimum","Study.Maximum","Model.Value","mu","mu.star","sigma","sem","std.errors","metric"
"1",79,"C_to_RR.Policy_Dur","Price","FT",NA,0,20,NA,3.24070514,3.24070514,6.78828103080228,1.35765620616046,2.38698510366254,"EE2051EtOHMax"
"2",127,"C_to_RR.Startup_Subs","FCI_C",NA,NA,0,1,0,10.79128904,10.79128904,25.2814752879317,5.05629505758634,2.13422850468527,"EE2051EtOHMax"
"3",133,"C_to_RR.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,2.30029564,2.30035504,6.33337085213412,1.26667417042682,1.81601211558998,"EE2051EtOHMax"
"4",90,"C_to_RR.Policy_Start","FCI_C","FT",NA,2011,2015,NA,0.35003414,0.35003414,1.1057513830974,0.221150276619481,1.58278861483082,"EE2051EtOHMax"
"5",112,"C_to_EtOH.Startup_Subs","Price",NA,NA,0,5,2.65000009536743,-2.16258894,2.16322974,7.69651233151638,1.53930246630328,1.40491488017529,"EE2051EtOHMax"
"6",73,"C_to_EtOH.Policy_Dur","Price","BC",NA,0,20,NA,-1.37121476,1.47478036,5.20313292194486,1.04062658438897,1.31768184723547,"EE2051EtOHMax"
"7",140,"C_to_RR.Startup_Subs_Vol_Thresh","Price",NA,NA,0,5,1,-0.0819048000000003,0.0822306400000002,0.312421548740507,0.0624843097481015,1.31080586998865,"EE2051EtOHMax"
"8",9,"C_to_RR.Policy_Dur","FCI_P","FT",NA,0,20,NA,0.167372,0.167372,0.644899270409728,0.128979854081946,1.29766001978621,"EE2051EtOHMax"
"9",72,"C_to_RR.Policy_Start","Price","APR",NA,2011,2015,NA,0.000162240000000019,0.000176680000000018,0.000701177166746651,0.00014023543334933,1.15691160304596,"EE2051EtOHMax"
"10",89,"C_to_RR.Policy_Dur","FCI_C","FT",NA,0,20,NA,1.092964,1.092964,4.73792633252143,0.947585266504287,1.153420213077,"EE2051EtOHMax"
"11",83,"C_to_EtOH.Policy_Dur","Price","TC",NA,0,20,NA,0.07468958,0.08458706,0.337987247542951,0.0675974495085902,1.10491713138539,"EE2051EtOHMax"
